,Americo,NLG,,F&G,,,,Mutual of Omaha,,Transamerica,American Amicable,,Ethos,United Home Life,,,,Royal Neighbors,Global Atlantic
FFL Contract,Instant Decision,Flex Life IUL,Summit Life IUL,Pathsetter (Juvenile),Pathsetter,Everlast (Juvenile),Everlast,UL,IULE,IUL,Secure Life,XUL,Ameritas IUL,FX,GIWL,WL,Accidental,Secure Life IUL,IUL
145,130%,110%,110%,95%,130%,95%,125%,125%,130%,120%,140%,105%,125%,-,-,-,-,-,-
140,125%,110%,110%,95%,130%,95%,125%,125%,130%,120%,140%,105%,120%,110%,70%,120%,100%,125%,110%
135,120%,105%,105%,90%,125%,90%,120%,120%,125%,115%,135%,100%,115%,105%,65%,115%,95%,120%,105%
130,115%,100%,100%,87.50%,120%,87.50%,115%,115%,120%,110%,130%,95%,110%,100%,60%,110%,90%,112%,100%
125,110%,95%,95%,85%,115%,85%,110%,110%,115%,105%,125%,90%,105%,95%,55%,105%,85%,105%,95%
120,105%,90%,90%,82.50%,110%,82.50%,105%,105%,110%,100%,120%,85%,100%,90%,50%,100%,80%,105%,90%
115,100%,85%,85%,80%,105%,80%,100%,100%,105%,95%,115%,80%,95%,85%,45%,95%,75%,105%,85%
110,95%,80%,80%,77.50%,100%,77.50%,95%,95%,100%,90%,110%,75%,90%,80%,40%,90%,70%,100%,80%
105,90%,75%,75%,75%,95%,75%,90%,90%,95%,80%,105%,70%,85%,75%,35%,85%,65%,95%,75%
100,85%,70%,70%,72.50%,90%,72.50%,85%,85%,90%,75%,100%,65% (76% on guide),80%,70%,30%,80%,60%,90%,70%
95,80%,65%,65%,70%,85%,70%,80%,80%,85%,70%,95%,60%,75%,65%,25%,75%,55%,85%,65%
90,75%,60%,60%,67.50%,80%,67.50%,75%,75%,80%,60%,90%,55%,70%,60%,25%,70%,50%,80%,60%
85,70%,55%,55%,65%,75%,65%,70%,70%,75%,55%,85%,50%,65%,55%,25%,65%,50%,50%,55%
80,65%,50%,50%,62.50%,70%,62.50%,65%,65%,70%,50%,80%,45%,60%,50%,25%,60%,50%,50%,50%
75,60%,45%,45%,60%,65%,60%,60%,60%,65%,45%,75%,45%,55%,45%,25%,55%,45%,50%,45%
70,55%,40%,40%,55%,60%,55%,55%,55%,60%,40%,70%,45%,50%,45%,25%,55%,45%,50%,40%
65,50%,40%,40%,50%,55%,50%,50%,50%,55%,40%,65%,45%,45%,45%,25%,55%,45%,50%,35%
,,,,Ages 0 - 17,Ages 18 - 80,Ages 0 - 17,Ages 18 - 80,,,,,,,,,,,,
,*Based on Target Premium,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Annuity Comp Gudies,,,<- Click to view PDF,,,,,,,,,,,,,,,
,Annuity & IUL Comp Guides (FFL America),,,<- Click to view PDF,,,,,,,,,,,,,,,